comparison,iteration,metric,difference
Fusion_60_40_minus_Image_Only,46,unhealthy_f1,-0.03809523809523807
Fusion_60_40_minus_Image_Only,47,accuracy,-0.06015037593984962
Fusion_60_40_minus_Image_Only,47,balanced_accuracy,-0.06807228915662644
Fusion_60_40_minus_Image_Only,47,macro_f1,-0.06128698124465681
Fusion_60_40_minus_Image_Only,47,unhealthy_recall,-0.03614457831325302
Fusion_60_40_minus_Image_Only,47,unhealthy_f1,-0.051447574334898216
Fusion_60_40_minus_Image_Only,48,accuracy,0.007633587786259555
Fusion_60_40_minus_Image_Only,48,balanced_accuracy,0.011190476190476084
Fusion_60_40_minus_Image_Only,48,macro_f1,0.010517582829310035
Fusion_60_40_minus_Image_Only,48,unhealthy_recall,0.0357142857142857
Fusion_60_40_minus_Image_Only,48,unhealthy_f1,0.01848739495798324
Fusion_60_40_minus_Image_Only,49,accuracy,-0.01680672268907557
Fusion_60_40_minus_Image_Only,49,balanced_accuracy,-0.01122448979591828
Fusion_60_40_minus_Image_Only,49,macro_f1,-0.01404626758659322
Fusion_60_40_minus_Image_Only,49,unhealthy_recall,0.020408163265306145
Fusion_60_40_minus_Image_Only,49,unhealthy_f1,-0.007868155236576357
Fusion_60_40_minus_Image_Only,50,accuracy,-0.013333333333333308
Fusion_60_40_minus_Image_Only,50,balanced_accuracy,-0.017325017325017233
Fusion_60_40_minus_Image_Only,50,macro_f1,-0.017622180451127734
Fusion_60_40_minus_Image_Only,50,unhealthy_recall,-0.02564102564102566
Fusion_60_40_minus_Image_Only,50,unhealthy_f1,-0.02631578947368418
Fusion_60_40_minus_Image_Only,51,accuracy,-0.06321839080459779
Fusion_60_40_minus_Image_Only,51,balanced_accuracy,-0.07157622739018099
Fusion_60_40_minus_Image_Only,51,macro_f1,-0.07628925634887107
Fusion_60_40_minus_Image_Only,51,unhealthy_recall,-0.0888888888888889
Fusion_60_40_minus_Image_Only,51,unhealthy_f1,-0.10820713238886182
Fusion_60_40_minus_Image_Only,52,accuracy,-0.0757575757575758
Fusion_60_40_minus_Image_Only,52,balanced_accuracy,-0.10425921087013335
Fusion_60_40_minus_Image_Only,52,macro_f1,-0.10069628270526354
Fusion_60_40_minus_Image_Only,52,unhealthy_recall,-0.18604651162790697
Fusion_60_40_minus_Image_Only,52,unhealthy_f1,-0.15290697674418607
Fusion_60_40_minus_Image_Only,53,accuracy,-0.042944785276073594
Fusion_60_40_minus_Image_Only,53,balanced_accuracy,-0.053974221267454325
Fusion_60_40_minus_Image_Only,53,macro_f1,-0.05428601424615476
Fusion_60_40_minus_Image_Only,53,unhealthy_recall,-0.08163265306122447
Fusion_60_40_minus_Image_Only,53,unhealthy_f1,-0.07915808739418906
Fusion_60_40_minus_Image_Only,54,accuracy,0.0060975609756097615
Fusion_60_40_minus_Image_Only,54,balanced_accuracy,0.06840796019900497
Fusion_60_40_minus_Image_Only,54,macro_f1,0.02903801143782392
Fusion_60_40_minus_Image_Only,54,unhealthy_recall,0.16666666666666674
Fusion_60_40_minus_Image_Only,54,unhealthy_f1,0.05767761650114589
Fusion_60_40_minus_Image_Only,55,accuracy,0.0
Fusion_60_40_minus_Image_Only,55,balanced_accuracy,-0.0045795933321122195
Fusion_60_40_minus_Image_Only,55,macro_f1,-0.0027090794781048366
Fusion_60_40_minus_Image_Only,55,unhealthy_recall,-0.018867924528301883
Fusion_60_40_minus_Image_Only,55,unhealthy_f1,-0.006802721088435382
Fusion_60_40_minus_Image_Only,56,accuracy,0.01680672268907557
Fusion_60_40_minus_Image_Only,56,balanced_accuracy,0.045454545454545525
Fusion_60_40_minus_Image_Only,56,macro_f1,0.03228655871060937
Fusion_60_40_minus_Image_Only,56,unhealthy_recall,0.1428571428571429
Fusion_60_40_minus_Image_Only,56,unhealthy_f1,0.06388888888888888
Fusion_60_40_minus_Image_Only,57,accuracy,-0.006756756756756799
Fusion_60_40_minus_Image_Only,57,balanced_accuracy,-0.004901960784313819
Fusion_60_40_minus_Image_Only,57,macro_f1,-0.006411150266472543
